,Barrington,Bristol,Burrillville,Central Falls,Charlestown,Coventry,Cranston,Cumberland,East Greenwich,East Providence,Exeter,Foster,Glocester,Hopkinton,Jamestown,Johnston,Lincoln,Little Compton,Middletown,Narragansett,New Shoreham,Newport,North Kingstown,North Providence,North Smithfield,Pawtucket,Portsmouth,Providence,Richmond,Scituate,Smithfield,South Kingstown,Tiverton,Warren,Warwick,West Greenwich,West Warwick,Westerly,Woonsocket
30,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
31,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
32,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
33,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
34,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
35,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
36,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
37,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
38,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
39,290.0,251.0,221.0,276.0,816.0,131.0,3077.0,115.0,155.0,2249.0,55.0,46.0,15.0,25.0,115.0,1203.0,249.0,13.0,728.0,286.0,187.0,1342.0,215.0,277.0,66.0,2778.0,295.0,15406.0,300.0,104.0,453.0,4271.0,538.0,2420.0,3760.0,64.0,1855.0,1219.0,4134.0
