"","od_death_2024","od_death_2025","od_death_2026","Barrington","Bristol","Burrillville","Central.Falls","Charlestown","Coventry","Cranston","Cumberland","East.Greenwich","East.Providence","Exeter","Foster","Glocester","Hopkinton","Jamestown","Johnston","Lincoln","Little.Compton","Middletown","Narragansett","New.Shoreham","Newport","North.Kingstown","North.Providence","North.Smithfield","Pawtucket","Portsmouth","Providence","Richmond","Scituate","Smithfield","South.Kingstown","Tiverton","Warren","Warwick","West.Greenwich","West.Warwick","Westerly","Woonsocket"
"63",454,459,449,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"64",309,328,319,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"65",414,394,412,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"66",322,366,348,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"67",308,237,291,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"68",320,279,330,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"69",301,270,298,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"70",304,344,345,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"71",412,353,446,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"72",393,347,382,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"73",432,443,395,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"74",335,276,358,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"75",352,347,319,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"76",326,302,293,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"77",263,258,293,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"78",373,352,387,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"79",288,284,298,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"80",248,196,225,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"81",422,420,400,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"82",325,322,323,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"83",332,339,314,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"84",250,245,269,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"85",335,340,360,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"86",257,268,264,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"87",254,293,288,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"88",411,424,391,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"89",291,312,303,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"90",282,286,240,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"91",331,281,333,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"92",389,399,425,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"93",276,281,303,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"94",328,334,360,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"95",345,318,341,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"96",359,378,387,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"97",313,350,331,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"98",344,320,318,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"99",363,367,375,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
"100",307,318,277,807,1606,759,1157,46,1911,4273,2144,584,2044,241,263,568,494,190,1221,1134,208,672,1071,0,1526,1544,1906,660,3400,851,7385,148,274,1449,1032,758,67,3710,392,1356,802,1347
