"","od_death_2024","od_death_2025","od_death_2026","Barrington","Bristol","Burrillville","Central.Falls","Charlestown","Coventry","Cranston","Cumberland","East.Greenwich","East.Providence","Exeter","Foster","Glocester","Hopkinton","Jamestown","Johnston","Lincoln","Little.Compton","Middletown","Narragansett","New.Shoreham","Newport","North.Kingstown","North.Providence","North.Smithfield","Pawtucket","Portsmouth","Providence","Richmond","Scituate","Smithfield","South.Kingstown","Tiverton","Warren","Warwick","West.Greenwich","West.Warwick","Westerly","Woonsocket"
"81",432,428,431,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"82",325,330,333,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"83",343,357,354,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"84",295,264,277,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"85",340,370,384,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"86",265,296,296,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"87",271,309,307,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"88",432,427,407,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"89",295,335,308,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"90",308,317,286,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"91",329,299,362,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"92",389,417,439,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"93",286,291,332,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"94",322,357,366,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"95",370,333,357,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"96",379,390,416,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"97",333,361,368,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"98",383,327,339,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"99",379,370,387,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
"100",326,322,297,290,251,221,276,816,131,3077,115,155,2249,55,46,15,25,115,1203,249,13,728,286,187,1342,215,277,66,2778,295,15406,300,104,453,4271,538,2420,3760,64,1855,1219,4134
